index,STATE,Year_Enacted,post,Required,Some_All_Staff,PK,K,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade__8,Grade_9,Grade_10,Grade_11,Grade_12,Opt_Out,Effective_Date,Screening,Screening_Date_Enacted,Criminalization,Criminalization_Date_Enacted,Task_Force,Task_Force_Year_Enacted,Posters,Poster_Year_Enacted,year,Alabama_trend,Alaska_trend,Arizona_trend,Arkansas_trend,California_trend,Colorado_trend,Connecticut_trend,Delaware_trend,District_of_Columbia_trend,Florida_trend,Georgia_trend,Hawaii_trend,Idaho_trend,Illinois_trend,Indiana_trend,Iowa_trend,Kansas_trend,Kentucky_trend,Louisiana_trend,Maine_trend,Maryland_trend,Massachusetts_trend,Michigan_trend,Minnesota_trend,Mississippi_trend,Missouri_trend,Montana_trend,Nebraska_trend,Nevada_trend,New_Hampshire_trend,New_Jersey_trend,New_Mexico_trend,New_York_trend,North_Carolina_trend,North_Dakota_trend,Ohio_trend,Oklahoma_trend,Oregon_trend,Pennsylvania_trend,Rhode_Island_trend,South_Carolina_trend,South_Dakota_trend,Tennessee_trend,Texas_trend,Utah_trend,Vermont_trend,Virginia_trend,Washington_trend,West_Virginia_trend,Wisconsin_trend,Wyoming_trend,sid,pop,median_household_income,popwt,Unemployment_rate,sub_csa_cases,sub_ca_cases,rep_csa_cases,sub_rep_csa_ratio,PK_5,G6_12,sub_csa_yc,sub_ca_yc,rep_csa_inc
0,Alabama,7-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0.0,,0,2012-07-01,0,2015,0.0,,2005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4569805,37150,4786351.133333334,4.5,5963,48291,53993,2.5906669938623077,0,0,0.1503838208240279,0.060452921871018916,4.4528663820941
1,Alabama,7-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0.0,,0,2012-07-01,0,2015,0.0,,2006,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4628981,37952,4786351.133333334,4.0,3130,105731,15211,17.272972348104346,0,0,-0.462630439067638,0.4459100856179852,27.457207896174786
2,Alabama,7-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0.0,,0,2012-07-01,0,2015,0.0,,2007,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4672840,42212,4786351.133333334,4.0,2181,55337,37111,7.45312904691819,0,0,-0.6535229459963035,-0.49490461430274196,25.662550436272674
3,Alabama,7-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0.0,,0,2012-07-01,0,2015,0.0,,2008,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4718206,44476,4786351.133333334,5.7,3560,66744,53423,6.984477666412637,0,0,-0.5847553530639177,-0.71905113559189,4.049202445112926
4,Alabama,7-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0.0,,0,2012-07-01,0,2015,0.0,,2009,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4757938,39980,4786351.133333334,11.0,3973,18038,49837,7.454108601021579,0,0,0.5734097369367229,0.10739713223209635,13.536574412030971
5,Alabama,7-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0.0,,0,2012-07-01,0,2015,0.0,,2010,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4779736,40933,4786351.133333334,10.5,5780,44053,48981,13.922275260077765,0,0,-0.6643548587748316,0.6045937108667236,2.824320788955856
6,Alabama,7-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0.0,,0,2012-07-01,0,2015,0.0,,2011,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4799069,42590,4786351.133333334,9.6,1396,17449,38575,23.1341928001491,0,0,0.2920994732274279,0.38372374802070186,1.5581551261099922
7,Alabama,7-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0.0,,0,2012-07-01,0,2015,0.0,,2012,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4815588,43464,4786351.133333334,8.0,1247,52889,27835,9.709890115111149,0,0,-0.7162692774497734,-0.27749241973491034,17.859650022713268
8,Alabama,7-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0.0,,1.0,2012-07-01,0,2015,0.0,,2013,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4830081,47320,4786351.133333334,7.2,1517,98301,27359,5.967286458085107,0,0,-0.11762678999647402,0.3532965396615386,5.202927961809914
9,Alabama,7-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,0.0,,1.0,2012-07-01,0,2015,0.0,,2014,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4841799,42278,4786351.133333334,6.8,6639,18560,38285,6.9018491294727635,0,0,-0.3018638601259026,-0.33447224954053295,24.440450172676893
